id,title,artist,style,store_url,published_on,youtube,key,org_key,comment,org_url,org_type
0022-00,Runaway,Aurora,Lead Sheet,https://www.sheetmusicplus.com/title/22041830,2021-05-28,,B major,B major,,https://youtu.be/d_HlPboLRL8,Official music video
0022-01,Runaway,Aurora,Piano Solo,https://www.sheetmusicplus.com/title/22041831,2021-05-28,https://youtu.be/wYfgiZldTl0,B major,B major,I admit it..the rhythms are pretty tricky! Good luck!,https://youtu.be/d_HlPboLRL8,Official music video
0022-02,Runaway,Aurora,Easy Piano,https://www.sheetmusicplus.com/title/22041832,2021-05-28,https://youtu.be/nWfaBlrBWkE,F major,B major,,https://youtu.be/d_HlPboLRL8,Official music video
0020-03,Piano Man,Billy Joel,Piano Solo (Quiet ver.),https://www.sheetmusicplus.com/title/22041775,2021-05-28,https://youtu.be/gS9uXq0pWAU,C major,C major,,https://youtu.be/gxEPV4kolz0,Official music video
0021-00,Holy,Justin Bieber Feat. Chance The Rapper,Lead Sheet,https://www.sheetmusicplus.com/title/22037859,2021-05-21,,F-sharp major,F-sharp major,,https://youtu.be/pvPsJFRGleA,Official music video
0021-01,Holy,Justin Bieber Feat. Chance The Rapper,Piano Solo,https://www.sheetmusicplus.com/title/22037862,2021-05-21,https://youtu.be/egdeGPVIHsc,F-sharp major,F-sharp major,,https://youtu.be/pvPsJFRGleA,Official music video
0021-02,Holy,Justin Bieber Feat. Chance The Rapper,Easy Piano,https://www.sheetmusicplus.com/title/22037863,2021-05-21,https://youtu.be/WZ5RX8_W8xo,G major,F-sharp major,,https://youtu.be/pvPsJFRGleA,Official music video
0020-00,Piano Man,Billy Joel,Lead Sheet,https://www.sheetmusicplus.com/title/22036499,2021-05-20,,C major,C major,,https://youtu.be/gxEPV4kolz0,Official music video
0020-01,Piano Man,Billy Joel,Piano Solo,https://www.sheetmusicplus.com/title/22036500,2021-05-20,https://youtu.be/49ZIuQjl1HI,C major,C major,,https://youtu.be/gxEPV4kolz0,Official music video
0020-02,Piano Man,Billy Joel,Easy Piano,https://www.sheetmusicplus.com/title/22036501,2021-05-20,https://youtu.be/LFiXZashPO4,C major,C major,"It could be a bit challenging for beginners, but you can enjoy the riffs similar to the original's!",https://youtu.be/gxEPV4kolz0,Official music video
001E-00,Ocean Eyes,Billie Eilish,Lead Sheet,https://www.sheetmusicplus.com/title/22032894,2021-05-15,,E minor,E minor,,https://youtu.be/viimfQi_pUw,Official music video
001E-01,Ocean Eyes,Billie Eilish,Piano Solo,https://www.sheetmusicplus.com/title/22032895,2021-05-15,https://youtu.be/-S0dmPzzagM,A minor,E minor,,https://youtu.be/viimfQi_pUw,Official music video
001E-02,Ocean Eyes,Billie Eilish,Easy Piano,https://www.sheetmusicplus.com/title/22032896,2021-05-15,https://youtu.be/j4kVHK2BbUw,E minor,E minor,,https://youtu.be/viimfQi_pUw,Official music video
001F-00,You Are Not Alone,Michael Jackson,Lead Sheet,https://www.sheetmusicplus.com/title/22031884,2021-05-11,,E-flat major,E-flat major,,https://youtu.be/pAyKJAtDNCw,Official music video
001F-01,You Are Not Alone,Michael Jackson,Piano Solo,https://www.sheetmusicplus.com/title/22031885,2021-05-11,https://youtu.be/yFL_uaNrsbI,E-flat major,E-flat major,,https://youtu.be/pAyKJAtDNCw,Official music video
001F-02,You Are Not Alone,Michael Jackson,Easy Piano,https://www.sheetmusicplus.com/title/22031886,2021-05-11,https://youtu.be/nxoBZn_LZTw,D major,E-flat major,,https://youtu.be/pAyKJAtDNCw,Official music video
001C-00,Unlearn,benny blanco And Gracie Abrams,Lead Sheet,https://www.sheetmusicplus.com/title/22022207,2021-05-04,,D-flat major,D-flat major,,https://youtu.be/aVXjbwjngEo,Official music video
001C-01,Unlearn,benny blanco And Gracie Abrams,Piano Solo,https://www.sheetmusicplus.com/title/22022208,2021-05-04,https://youtu.be/ZNLvOfR2U7g,D-flat major,D-flat major,,https://youtu.be/aVXjbwjngEo,Official music video
001C-02,Unlearn,benny blanco And Gracie Abrams,Easy Piano,https://www.sheetmusicplus.com/title/22022209,2021-05-04,https://youtu.be/KWPoBz0zBgg,F major,D-flat major,,https://youtu.be/aVXjbwjngEo,Official music video
001B-00,All Of Me,John Legend,Lead Sheet,https://www.sheetmusicplus.com/title/22020754,2021-04-30,,A-flat major,A-flat major,,https://youtu.be/450p7goxZqg,Official music video
001B-01,All Of Me,John Legend,Piano Solo,https://www.sheetmusicplus.com/title/22020755,2021-04-30,https://youtu.be/0sMvLoRrwqI,A-flat major,A-flat major,,https://youtu.be/450p7goxZqg,Official music video
001B-02,All Of Me,John Legend,Easy Piano,https://www.sheetmusicplus.com/title/22020756,2021-04-30,https://youtu.be/YjDQ1nkKBUI,C major,A-flat major,,https://youtu.be/450p7goxZqg,Official music video
001D-00,Every Morning,Sugar Ray,Lead Sheet,https://www.sheetmusicplus.com/title/22017091,2021-04-29,,A-flat major,A-flat major,,https://youtu.be/3cqU1pFRqYE,Official music video
001D-01,Every Morning,Sugar Ray,Piano Solo,https://www.sheetmusicplus.com/title/22017092,2021-04-29,https://youtu.be/D9oUKfTT4Ok,E-flat major,A-flat major,,https://youtu.be/3cqU1pFRqYE,Official music video
001D-02,Every Morning,Sugar Ray,Easy Piano,https://www.sheetmusicplus.com/title/22017093,2021-04-29,https://youtu.be/tD4N75V-UCI,F major,A-flat major,,https://youtu.be/3cqU1pFRqYE,Official music video
0018-00,Levitating,Dua Lipa,Lead Sheet,https://www.sheetmusicplus.com/title/22013950,2021-04-25,,B minor,B minor,,https://youtu.be/WHuBW3qKm9g,Official music video
0018-01,Levitating,Dua Lipa,Piano Solo,https://www.sheetmusicplus.com/title/22013951,2021-04-25,https://youtu.be/9zwQvREemzE,B minor,B minor,,https://youtu.be/WHuBW3qKm9g,Official music video
0018-02,Levitating,Dua Lipa,Easy Piano,https://www.sheetmusicplus.com/title/22013952,2021-04-25,https://youtu.be/bwKDV9HQF_k,A minor,B minor,,https://youtu.be/WHuBW3qKm9g,Official music video
001A-00,Faded,Alan Walker,Lead Sheet,https://www.sheetmusicplus.com/title/22013047,2021-04-22,,D-sharp minor,D-sharp minor,,https://youtu.be/60ItHLz5WEA,Official music video
001A-01,Faded,Alan Walker,Piano Solo,https://www.sheetmusicplus.com/title/22013042,2021-04-22,https://youtu.be/5IRvBDLHv5g,G minor,D-sharp minor,,https://youtu.be/60ItHLz5WEA,Official music video
001A-02,Faded,Alan Walker,Easy Piano,https://www.sheetmusicplus.com/title/22013044,2021-04-22,https://youtu.be/KWQdrmLYCBs,E minor,D-sharp minor,,https://youtu.be/60ItHLz5WEA,Official music video
0008-00,Someone Like You,Adele,Lead Sheet,https://www.sheetmusicplus.com/title/22012575,2021-04-21,,A major,A major,,https://youtu.be/hLQl3WQQoQ0,Official music video
0019-00,Deja Vu,Olivia Rodrigo,Lead Sheet,https://www.sheetmusicplus.com/title/22010622,2021-04-20,,A major,A major,,https://youtu.be/cii6ruuycQA,Official music video
0019-01,Deja Vu,Olivia Rodrigo,Piano Solo,https://www.sheetmusicplus.com/title/22010149,2021-04-16,https://youtu.be/ltshbg2zjrI,A major,A major,,https://youtu.be/cii6ruuycQA,Official music video
0019-02,Deja Vu,Olivia Rodrigo,Easy Piano,https://www.sheetmusicplus.com/title/22010150,2021-04-16,https://youtu.be/lUH6gxObjUw,D major,A major,,https://youtu.be/cii6ruuycQA,Official music video
0017-01,Someone You Loved,Lewis Capaldi,Piano Solo,https://www.sheetmusicplus.com/title/22009046,2021-04-14,https://youtu.be/zsX6WfDH3w0,D-flat major,D-flat major,With a bit of rock ballad-ish taste :),https://youtu.be/zABLecsR5UE,Official music video
0017-02,Someone You Loved,Lewis Capaldi,Easy Piano,https://www.sheetmusicplus.com/title/22009047,2021-04-14,https://youtu.be/uAkzFdn0OgA,C major,D-flat major,,https://youtu.be/zABLecsR5UE,Official music video
0016-01,Save Your Tears,The Weeknd,Piano Solo,https://www.sheetmusicplus.com/title/22006936,2021-04-09,https://youtu.be/i-pyWaQK8Is,A minor,C major,"Sounds like a different tune? Chords changed, even the key changed and turned into a sad ballad.",https://youtu.be/XXYlFuWEuKI,Official music video
0016-02,Save Your Tears,The Weeknd,Easy Piano,https://www.sheetmusicplus.com/title/22006937,2021-04-09,https://youtu.be/pQKK0BihNoA,C major,C major,,https://youtu.be/XXYlFuWEuKI,Official music video
0008-01,Someone Like You,Adele,Piano Solo,https://www.sheetmusicplus.com/title/22006353,2021-04-08,https://youtu.be/xdjvlryjcQQ,A major,A major,,https://youtu.be/hLQl3WQQoQ0,Official music video
0008-02,Someone Like You,Adele,Easy Piano,https://www.sheetmusicplus.com/title/22006354,2021-04-08,https://youtu.be/y0onxLUK3aU,C major,A major,,https://youtu.be/hLQl3WQQoQ0,Official music video
0008-03,Someone Like You,Adele,Piano Solo (Bossa Nova),https://www.sheetmusicplus.com/title/22006355,2021-04-08,https://youtu.be/CRHvtroR20s,D major,A major,Why not try a new style for one of the best ballads of all time.. :),https://youtu.be/hLQl3WQQoQ0,Official music video
0015-01,A Thousand Years,Christina Perri,Piano Solo,https://www.sheetmusicplus.com/title/22005699,2021-04-07,https://youtu.be/ah2R5Vq9Aqc,B-flat major,B-flat major,,https://youtu.be/rtOvBOTyX00,Official music video
0015-02,A Thousand Years,Christina Perri,Easy Piano,https://www.sheetmusicplus.com/title/22005701,2021-04-07,https://youtu.be/3cFk6bQDcVk,C major,B-flat major,,https://youtu.be/rtOvBOTyX00,Official music video
0014-01,Say Something,A Great Big World,Piano Solo,https://www.sheetmusicplus.com/title/22004738,2021-04-05,https://youtu.be/hiDEDpHQCKE,D major,D major,,https://youtu.be/-2U0Ivkn2Ds,Official music video
0014-02,Say Something,A Great Big World,Easy Piano,https://www.sheetmusicplus.com/title/22004740,2021-04-05,https://youtu.be/azR0H1ZSma8,C major,D major,,https://youtu.be/-2U0Ivkn2Ds,Official music video
